order_item_id,order_id,product_id,quantity,unit_price,discount_amount,total_amount,warehouse_id,delivery_days,returned_flag
53,3317,3461,8,44.71,4.73,2903.63,19,4,0
54,4798,4867,3,330.93,21.65,585.26,2,4,0
55,3340,2677,4,58.63,28.44,2936.62,9,10,0
56,3736,2909,5,325.61,6.21,1370.04,18,10,0
57,2528,2989,8,143.06,6.81,1742.61,20,10,0
58,4903,3667,7,445.91,23.53,2723.12,4,4,0
59,4758,4441,7,200.94,4.03,2953.03,3,5,0
60,252,486,5,195.46,14.11,523.15,11,11,1
61,3588,3758,4,427.51,12.4,1830.9,9,3,0
62,3101,3211,1,481.75,15.34,2081.66,17,2,0
63,2182,1715,6,19.23,15.57,2127.43,1,12,0
64,4143,1491,9,247.9,16.73,638.65,17,13,0
65,1591,2178,2,285.19,24.54,219.36,5,4,0
66,2024,4701,1,463.52,12.85,1134.96,18,11,0
67,2794,4178,5,299.16,6.47,2436.79,6,11,0
68,615,4206,4,290.83,23.57,2912.21,19,9,0
69,1014,10,4,371.08,29.38,1339.42,16,12,0
70,246,3768,1,396.56,3.77,2743.5,10,4,1
71,409,2790,1,236.97,7.81,2169.7,17,11,0
72,2733,1423,1,84.73,29.32,362.8,7,10,0
73,3208,726,8,428.57,6.65,1042.86,4,12,0
74,3851,1494,1,86.67,12.67,2235.72,15,10,0
75,3457,2709,5,490.09,2.51,1347.22,12,1,1
76,1478,1439,6,184.59,9.15,1971.5,16,11,0
77,2406,1725,7,475.99,7.78,2281.25,19,12,0
78,2716,1506,5,352.35,28.73,2943.17,13,10,0
79,2441,3526,9,433.27,4.22,2755.37,20,12,1
80,98,4520,1,471.57,9.3,1039.29,2,8,0
81,3121,3599,7,336.38,2.39,2410.2,19,3,1
82,1986,4827,6,391.26,20.16,1123.77,11,1,0
83,4007,4988,9,105.54,29.59,1942.36,19,1,0
84,2109,4539,6,194.09,4.6,194.24,18,5,0
85,1396,3952,2,203.28,18.82,2354.38,17,11,1
86,4931,426,9,89.55,4.6,2973.63,20,4,0
87,427,663,4,282.48,6.79,1621.39,8,7,0
88,2221,2880,9,374.18,16.27,2798.3,8,7,0
89,1577,2414,3,129.77,28.49,2619.44,8,9,0
90,606,3171,3,364.56,14.25,44.48,14,12,0
91,147,1544,5,413.51,13.52,277.88,3,11,0
92,300,2145,8,12.51,4.11,1314.61,5,3,0
93,2966,583,9,420.78,16.91,800.88,9,10,0
94,549,3563,4,112.34,13.87,1213.09,20,14,1
95,3013,4493,8,13.39,10.04,1536.71,7,10,0
96,4075,1183,5,401.72,21.92,1437.95,6,11,0
97,4302,2061,9,395.49,8.94,495.36,13,2,0
98,2510,1827,3,11.89,27.09,453.77,7,1,0
99,1481,327,8,40.45,26.18,1246.67,8,2,1
100,376,4008,5,461.13,14.6,2075.83,3,2,1
101,906,1972,8,453.09,27.24,1777.93,16,6,0
102,4767,3209,1,263.5,28.85,267.19,16,1,0
103,2869,4000,9,427.79,1.09,855.45,20,8,0
104,1183,2531,5,152.57,25.57,1249.83,10,5,0
105,656,4611,3,81.61,12.07,1003.9,6,14,0
106,4395,2069,2,488.15,29.86,1346.5,19,1,0
107,123,3966,3,291.12,10.29,1322.34,6,12,0
108,3339,2297,1,151.66,25.0,2500.45,18,7,0
109,4016,3661,6,261.09,6.61,2504.6,20,8,0
110,1655,2980,7,302.57,27.91,2820.48,14,12,1
111,1448,2314,7,168.95,22.28,1575.73,6,1,0
112,1601,1764,2,384.67,8.51,836.5,17,2,1
113,3258,4498,3,24.77,20.62,2079.05,19,9,0
114,155,1759,4,124.5,13.06,2294.88,16,10,0
115,2217,2797,7,159.5,25.78,1052.96,19,2,0
116,910,488,8,363.15,0.18,2475.37,16,12,0
117,4436,927,9,399.25,15.7,2085.29,6,12,0
118,223,3994,6,314.41,20.44,2911.04,5,13,0
119,2562,550,7,169.12,11.91,1042.45,7,7,0
120,3538,1963,8,134.48,14.2,2768.37,9,4,0
121,4821,1067,7,201.51,7.2,1049.42,20,8,1
122,1037,956,7,222.45,12.52,2600.81,17,9,1
123,3665,2874,9,299.25,27.63,990.32,3,8,0
124,716,1740,6,340.45,11.54,2726.64,2,4,0
125,3498,3077,1,192.16,29.65,60.52,4,2,0
126,214,3516,3,64.43,13.97,1221.24,20,2,0
127,1944,3470,5,222.54,18.61,159.91,12,11,0
128,15,559,9,183.98,0.14,1228.33,3,1,0
129,4231,566,1,34.57,5.61,1270.83,10,5,0
130,3965,1059,2,106.69,10.67,2724.42,14,6,0
131,4523,2428,3,210.41,9.84,2401.33,9,14,0
132,3610,529,4,278.8,21.58,806.97,11,7,0
133,1581,4483,6,274.59,16.46,2507.44,20,13,0
134,2588,4039,7,110.07,6.5,552.62,8,6,0
135,2933,4416,7,119.26,18.17,2080.53,9,12,0
136,4963,2900,2,356.9,3.93,839.37,6,3,0
137,2093,1981,3,173.94,26.02,2901.07,6,14,0
138,1832,3070,1,98.72,22.49,2801.63,9,4,0
139,2344,1356,1,229.34,10.38,912.38,13,8,0
140,2826,2055,6,249.15,1.45,97.9,20,12,0
141,3043,1501,4,103.67,23.48,1945.47,6,5,0
142,3325,2934,4,236.28,7.3,496.5,15,7,0
143,816,4414,9,375.38,7.77,361.45,9,10,0
144,685,3706,8,89.51,12.95,2722.53,11,7,1
145,3824,3090,3,182.53,18.26,1695.47,20,14,0
146,4594,3842,3,55.16,1.03,2802.64,17,3,0
147,2195,688,8,111.49,24.77,801.01,2,7,0
148,3192,4107,2,218.94,1.02,1003.1,19,11,0
149,4602,1818,5,487.35,5.25,2810.99,16,9,1
150,1052,955,6,351.0,6.8,1342.22,13,5,0
151,1452,4838,5,466.11,25.48,709.49,2,5,0
152,2007,3590,1,56.81,22.38,1251.37,11,11,0
153,4118,4217,5,471.26,18.32,1059.57,13,4,0
154,2348,1089,9,257.97,10.68,2365.23,7,9,0
155,3686,2356,2,144.75,16.59,1239.06,13,8,0
156,496,770,3,423.17,1.53,240.28,19,11,0
157,2079,3302,6,302.67,25.98,1820.72,12,9,0
158,1115,2089,3,49.92,20.76,2667.25,8,8,0
159,3333,3902,6,269.97,20.0,2739.41,5,8,0
160,4586,2854,7,322.73,29.53,1451.86,17,8,0
161,1024,2174,3,13.79,16.0,49.21,8,11,0
162,2245,4745,4,277.07,2.19,1805.84,18,12,0
163,127,613,6,184.78,6.84,1408.67,11,14,0
164,1874,2320,1,231.14,4.82,2825.17,13,8,0
165,2141,1884,1,58.93,28.24,2658.92,15,1,0
166,4539,844,5,253.93,3.83,2700.09,4,10,1
167,3741,844,8,492.44,0.68,2350.44,10,12,0
168,4325,4089,1,370.37,9.07,756.86,20,5,0
169,2353,1949,1,464.29,3.66,1733.53,3,10,0
170,1536,213,1,142.36,18.61,2539.88,3,8,0
171,1409,657,1,194.33,6.71,2361.36,19,9,0
172,899,3745,9,326.26,25.28,2473.13,12,2,0
173,928,1114,2,371.12,4.29,1437.95,14,9,1
174,279,914,6,155.52,4.57,804.6,7,4,1
175,4075,1638,2,177.06,18.23,198.58,18,8,0
176,3410,1625,5,70.2,2.46,842.7,13,7,1
177,4075,226,5,340.96,1.52,68.37,11,13,0
178,228,4732,9,177.52,5.52,986.19,2,9,0
179,2042,4146,4,73.66,15.8,2857.99,3,7,0
180,4059,4656,6,318.82,16.43,810.08,12,14,1
181,624,2127,4,11.17,11.54,2791.67,12,9,0
182,912,1581,6,475.29,14.01,2918.66,15,5,0
183,2161,838,3,322.31,13.65,317.51,8,3,0
184,2634,871,4,305.89,13.73,2437.04,19,2,0
185,1511,3874,9,325.33,7.99,2846.98,8,3,0
186,1669,1979,1,161.69,5.08,638.76,10,2,0
187,4587,4730,7,120.44,11.74,1161.31,8,8,0
188,1141,1623,3,270.72,13.9,2515.56,20,10,0
189,4195,3663,9,472.31,28.6,430.51,5,2,0
190,849,4953,7,144.13,22.45,1684.48,10,8,0
191,4915,3912,2,359.62,25.84,731.82,1,13,0
192,4996,3644,5,486.76,11.59,2297.59,4,5,0
193,4085,2635,1,276.94,17.18,1860.02,11,1,0
194,1055,541,1,232.01,22.27,1856.84,1,5,1
195,1181,4156,7,375.3,5.5,2749.49,14,7,0
196,3600,4692,7,74.99,13.78,2020.53,12,8,0
197,4151,4876,8,21.38,10.45,450.54,11,14,1
198,1042,341,8,179.17,16.43,530.13,6,7,0
199,1957,1701,7,419.43,8.76,831.12,10,2,0
200,3644,1722,3,43.37,10.64,123.45,19,12,0
201,1243,2615,3,297.59,24.97,1101.45,20,14,0
202,3679,1394,2,30.5,23.32,1154.88,1,1,0
203,3287,1557,1,252.98,12.21,2131.32,17,7,0
204,2666,3957,8,69.38,2.94,991.29,7,9,0
205,4441,2414,6,305.75,8.57,2571.03,20,7,0
206,566,1375,5,158.54,21.96,1158.75,2,8,1
207,973,3907,1,188.48,22.67,2998.14,7,5,0
208,337,4015,5,36.17,9.74,1430.48,10,6,0
209,1639,4437,8,389.14,28.19,2663.34,18,10,0
210,1972,2746,8,303.31,15.05,670.37,12,4,0
211,1916,625,6,292.88,26.35,20.44,11,7,1
212,1153,4250,2,330.75,15.89,1544.17,16,13,0
213,4279,1549,2,333.56,0.36,1549.58,7,7,0
214,234,3586,2,179.38,2.99,2865.41,14,8,0
215,2927,241,8,140.87,3.16,593.92,3,1,0
216,2578,2209,8,152.27,21.53,599.47,8,6,0
217,3306,1601,8,406.63,25.81,1264.16,1,11,0
218,1652,4711,1,88.9,15.77,1557.7,3,5,0
219,1417,1204,9,245.95,25.63,1929.0,17,7,0
220,2650,3399,4,314.7,11.15,891.37,14,9,0
221,655,100,9,260.54,3.06,802.16,10,9,0
222,2510,1195,7,278.91,7.77,2523.06,10,3,0
223,4105,1158,3,420.33,3.54,1490.52,1,8,0
224,1183,3589,3,168.05,26.57,2795.3,12,4,0
225,1634,4525,2,176.2,7.17,2053.4,15,5,0
226,1410,4647,7,87.1,22.52,196.72,15,3,0
227,4198,239,8,376.4,2.14,330.66,10,9,0
228,4205,4854,1,107.61,23.25,2610.02,1,5,0
229,4710,3462,7,262.28,2.55,639.84,6,14,0
230,2426,1867,2,427.81,28.43,512.26,14,14,0
231,641,1499,7,53.58,19.22,2664.04,10,7,0
232,1005,4973,6,88.42,20.29,2863.88,17,1,0
233,4055,2006,9,95.83,20.43,1960.49,1,3,0
234,2753,4256,7,71.52,8.24,313.72,18,2,0
235,368,1305,9,472.72,13.29,76.03,19,10,0
236,263,4179,5,371.28,27.16,1800.5,3,10,0
237,1582,3952,6,230.21,6.21,186.26,17,10,0
238,2981,3550,6,152.33,15.83,1649.28,17,13,0
239,3443,1710,3,62.02,9.69,1211.47,5,14,0
240,4785,1984,3,16.72,22.91,107.65,14,8,0
241,776,4123,1,326.72,13.69,2862.53,16,8,0
242,4925,2514,4,255.01,10.28,36.72,3,2,1
243,2212,1037,3,298.25,17.79,1068.97,5,14,0
244,1922,1900,7,87.9,3.18,2418.85,6,8,0
245,375,2463,6,296.42,16.8,2923.7,4,6,0
246,2093,2499,9,106.19,23.5,145.04,3,10,0
247,4724,4127,3,25.31,28.89,2852.82,4,5,0
248,3462,190,6,436.72,25.36,1016.03,7,3,0
249,1266,2710,9,414.54,18.49,483.84,3,4,0
250,2981,1377,3,296.47,16.22,2472.68,12,3,1
251,3001,3757,9,457.84,9.86,1931.39,10,5,0
252,2508,2918,3,387.26,14.34,306.77,5,11,0
253,2067,1642,1,140.88,18.55,1858.84,14,10,1
254,1757,206,3,457.77,3.89,2451.63,2,10,0
255,4143,3196,5,197.12,21.7,1651.45,2,5,0
256,1757,2575,8,491.76,7.35,1034.49,15,12,1
257,2867,2552,1,350.34,3.46,649.31,2,10,0
258,2871,4893,4,108.13,2.94,2254.03,4,4,0
259,2965,4634,8,200.81,9.59,1203.54,10,2,0
260,4001,2838,6,334.34,9.61,2497.48,12,5,0
261,4373,2745,4,395.26,17.17,2294.91,13,9,0
262,1401,3141,3,290.34,13.74,2259.71,9,1,0
263,2864,2076,1,371.48,22.5,2383.88,4,4,0
264,1164,2175,8,243.4,0.57,1671.31,12,5,0
265,4731,1521,2,146.17,2.73,2341.01,6,9,0
266,579,2595,7,353.86,7.44,2637.58,7,12,1
267,4232,4512,3,413.2,1.17,909.88,18,2,1
268,3830,2222,5,162.3,4.92,762.85,18,10,0
269,1636,3352,6,216.64,21.82,1381.73,6,11,0
270,4131,4425,3,172.22,23.95,1662.85,19,7,0
271,2007,895,6,77.04,17.78,94.14,14,13,0
272,1814,1712,7,384.47,17.13,553.52,4,14,0
273,4053,2998,7,257.51,18.81,76.48,20,1,1
274,574,4965,2,85.19,24.04,1689.5,12,8,0
275,2172,4045,2,176.41,25.28,2315.64,16,2,0
276,3634,3424,3,371.67,10.17,2481.15,14,1,0
277,3580,4922,7,192.36,12.49,1679.75,8,4,0
278,4788,3180,1,40.52,24.26,133.03,10,9,0
279,2088,3274,8,57.2,6.32,1776.26,11,4,0
280,2504,1707,4,499.06,28.28,1204.09,16,5,0
281,3527,1414,6,216.84,25.15,2547.99,17,11,0
282,2410,597,5,319.88,13.23,1225.61,10,14,0
283,1250,3796,1,311.56,15.41,2157.44,4,14,0
284,3614,2418,5,87.22,13.12,592.28,16,2,0
285,2356,2731,5,202.5,6.87,2770.83,2,10,0
286,1241,4355,7,358.64,7.2,892.86,16,10,1
287,3599,1837,9,215.25,9.08,27.34,18,12,0
288,73,3176,9,296.69,12.25,253.89,6,2,0
289,485,4479,1,188.59,26.81,695.8,20,13,0
290,4585,4773,5,136.22,10.76,504.8,8,9,0
291,2262,4917,4,14.27,16.87,579.46,4,12,0
292,423,4914,7,215.02,2.66,1741.93,11,6,0
293,2408,960,5,201.28,11.53,1425.35,2,6,0
294,2428,4208,2,232.95,12.83,2139.06,2,8,0
295,4477,529,4,8.23,15.09,2373.1,19,3,0
296,4243,8,4,261.09,13.86,1554.89,7,11,1
297,4938,3113,3,63.47,19.83,1782.73,3,6,0
298,386,2559,5,250.63,25.5,2329.4,9,11,0
299,4162,795,8,174.33,18.96,278.78,16,7,0
300,2128,4154,2,26.67,11.62,1307.59,7,1,0
301,2336,4667,2,86.97,23.18,1589.96,14,1,0
302,4518,1796,9,132.72,20.53,1797.68,12,6,1
303,4596,3503,5,120.51,20.71,1632.05,12,6,0
304,4378,1195,2,303.75,23.6,1058.84,9,8,0
305,3168,3425,2,26.85,3.33,869.63,7,2,0
306,3506,863,3,224.68,10.85,1327.93,5,9,0
307,3068,4924,9,409.13,5.05,209.1,8,10,0
308,2782,2521,6,146.31,23.18,1418.79,10,7,0
309,2943,2298,1,304.38,17.0,2897.48,19,13,0
310,72,4081,3,461.57,29.69,171.15,19,1,0
311,4758,575,5,395.32,20.36,467.3,9,13,0
312,257,1771,4,416.54,2.29,1894.75,18,3,0
313,1611,4113,5,221.79,8.64,2125.09,17,5,0
314,1318,2954,1,46.42,27.76,1431.06,13,8,0
315,1719,4400,1,245.92,29.44,2751.29,12,11,0
316,2694,4502,2,41.08,6.7,1450.31,10,7,0
317,1280,4510,9,251.16,14.82,336.97,6,2,0
318,1854,3860,3,251.08,11.1,1442.17,13,7,0
319,1298,2319,8,409.49,6.29,1549.01,16,7,0
320,850,4409,3,275.5,11.04,1291.98,4,12,0
321,3143,4499,3,54.84,12.85,2744.59,18,8,0
322,4000,919,9,231.21,20.0,1442.9,19,5,0
323,4120,4460,9,367.48,15.08,2080.4,18,6,0
324,4592,2766,2,56.66,24.9,1530.85,12,14,0
325,886,3312,8,247.57,28.27,2182.3,20,4,0
326,947,4296,9,254.89,11.48,335.66,10,12,0
327,396,4076,7,465.87,15.03,2835.29,11,2,0
328,4954,2591,8,389.7,21.82,1839.14,8,14,0
329,4562,2102,1,126.0,24.79,930.18,15,3,0
330,3908,4967,2,404.85,6.62,707.6,2,9,0
331,215,4629,8,217.22,19.74,2215.78,7,2,0
332,3805,328,3,251.84,24.57,809.26,20,8,0
333,1981,550,7,188.2,22.2,1352.14,6,8,0
334,4927,4422,7,49.92,20.94,1853.95,17,6,1
335,3020,3214,8,495.08,28.33,2574.69,17,12,0
336,3877,631,8,47.83,22.37,2489.46,7,9,0
337,396,4558,8,46.32,14.67,2004.61,19,9,1
338,2320,4359,5,64.22,26.08,802.31,6,7,0
339,844,1817,1,142.05,13.11,494.14,10,3,1
340,1665,1427,9,274.81,23.91,1640.87,8,4,0
341,4012,3243,9,388.32,18.74,2645.74,4,7,0
342,1253,2398,6,383.07,18.17,1230.89,17,2,0
343,205,4579,9,253.48,22.16,2213.63,2,3,0
344,260,4769,7,423.65,20.98,2497.79,19,2,0
345,2536,4567,4,15.44,16.01,794.99,19,13,0
346,1297,4414,4,24.92,26.56,2893.39,4,12,0
347,1721,1728,1,324.69,21.65,772.52,16,7,1
348,3985,101,9,235.11,17.42,1772.24,17,14,0
349,4872,4394,6,254.82,21.12,2007.33,8,4,0
350,1648,4446,7,112.96,10.32,1663.49,8,8,0
351,3417,2175,2,419.43,29.99,1868.45,7,3,0
352,297,801,3,254.07,14.08,641.38,7,14,1
353,2445,4443,4,109.36,14.25,441.56,4,10,0
354,4248,3466,3,73.51,11.73,56.16,6,9,0
355,1737,63,9,497.7,9.65,1830.3,18,11,0
356,2147,4094,8,365.07,28.9,2772.65,11,12,0
357,608,1492,2,268.66,29.09,2045.12,15,14,0
358,1089,4239,9,285.41,28.44,1956.54,16,12,0
359,1439,1295,8,59.59,9.68,1602.4,12,7,1
360,2194,943,4,362.15,18.58,1858.25,11,1,0
361,3582,4497,3,460.03,5.53,2172.29,7,7,0
362,577,1278,4,449.11,21.65,462.02,10,2,0
363,3287,3377,2,395.0,8.17,2193.77,3,4,0
364,3442,3294,8,328.09,20.59,474.16,5,8,0
365,4915,3738,6,137.27,21.5,890.18,9,3,0
366,532,4217,1,175.63,29.9,1024.57,4,2,0
367,350,1904,7,416.74,23.58,863.99,16,10,0
368,3583,2393,4,359.77,17.32,1578.53,17,4,0
369,4861,1453,4,495.24,14.72,1669.88,19,13,0
370,3894,438,5,47.16,1.69,2460.53,20,11,0
371,4005,3067,8,177.18,28.35,1735.72,15,4,1
372,4217,1010,2,440.43,5.49,2989.4,7,3,0
373,4158,3135,7,17.83,1.23,2087.53,2,12,0
374,1035,3779,9,171.3,10.49,2191.47,8,6,0
375,554,1269,8,487.24,6.89,2993.45,13,13,0
376,1273,4155,2,275.6,14.55,710.13,13,10,0
377,2694,1658,4,157.59,27.73,1943.62,8,5,0
378,2278,4395,1,465.42,28.69,2665.02,1,3,1
379,89,1144,4,176.79,8.58,2904.14,17,10,0
380,4537,2187,5,71.07,27.28,1345.05,7,6,0
381,679,924,6,291.71,27.03,1298.34,8,8,0
382,3037,3868,2,358.59,13.16,293.27,18,4,0
383,3621,4318,5,44.27,16.27,2713.71,10,14,0
384,3297,419,5,312.94,1.47,2810.92,20,7,0
385,466,2439,4,189.06,0.62,2654.7,1,7,0
386,364,3056,8,66.68,4.62,683.85,4,5,0
387,3240,3611,7,319.69,15.7,912.1,9,13,0
388,419,93,2,138.2,14.15,2845.76,5,4,0
389,3446,2971,8,89.01,0.38,1846.5,8,12,1
390,526,1898,8,51.4,3.34,1900.72,20,7,0
391,222,1119,5,203.67,12.58,1256.85,7,6,0
392,4903,4741,7,312.25,24.21,1849.48,5,7,0
393,3629,3093,4,487.86,16.23,489.96,14,5,0
394,3122,2678,5,172.33,20.64,2848.6,6,11,0
395,4090,2145,3,308.19,13.65,2837.15,15,8,0
396,3693,3882,4,63.21,11.38,2572.79,7,5,0
397,3808,1343,4,468.37,27.26,775.41,8,7,1
398,3943,3586,7,371.62,24.88,2629.27,3,5,0
399,680,4439,1,357.22,5.98,2103.34,9,11,0
400,156,2176,7,276.11,24.43,746.2,7,12,0
401,2826,2467,5,283.88,7.56,2507.64,13,11,0
402,196,394,8,226.15,1.17,281.93,1,6,0
403,4859,3872,8,27.6,23.62,2154.11,1,8,0
404,4572,2282,6,39.9,4.61,2992.28,14,3,0
405,491,4133,3,99.99,8.48,1299.03,7,10,0
406,2267,2577,2,98.14,23.0,1868.68,11,13,0
407,4609,366,9,33.31,14.55,657.21,19,11,0
408,3407,4251,8,250.85,20.77,1404.88,5,7,0
409,3918,48,5,256.9,0.88,333.63,18,1,0
410,3422,910,3,301.7,10.07,2089.18,12,5,0
411,2305,1476,7,394.69,10.65,2320.56,15,8,0
412,579,2016,2,468.34,7.34,1769.17,17,9,0
413,4107,1650,5,474.29,11.26,2225.88,4,1,0
414,1367,1410,4,450.36,10.95,2072.58,2,3,1
415,3497,2938,5,372.09,28.32,2769.59,2,1,0
416,3908,3161,5,336.85,25.47,1440.87,1,12,0
417,188,422,1,63.18,24.64,1619.9,17,13,0
418,1504,4795,8,329.91,0.1,1122.75,20,9,0
419,4526,2736,2,82.66,10.97,1064.99,10,11,0
420,4112,2382,9,374.06,4.68,2455.06,5,10,0
421,2772,2220,4,85.2,9.19,2787.32,17,8,0
422,3608,2108,8,342.34,5.06,936.18,15,11,0
423,1032,2505,3,40.76,2.2,1263.88,19,4,0
424,2543,4824,5,160.15,16.6,1063.42,7,2,1
425,1348,287,1,190.22,22.79,2565.4,18,4,0
426,926,1975,6,160.27,14.76,2843.93,9,10,0
427,309,3424,8,158.83,8.61,2706.96,10,2,0
428,3567,1909,4,268.56,3.03,49.54,7,10,0
429,3637,3351,1,412.68,25.82,526.49,18,1,0
430,2527,1702,8,437.3,19.16,2686.54,2,13,0
431,1805,2916,6,41.37,4.55,1580.43,16,8,0
432,214,3584,8,100.22,8.91,1138.67,15,12,1
433,4231,3318,2,158.1,23.5,1226.71,19,10,0
434,976,4439,6,343.46,22.81,2474.08,20,1,0
435,4507,1407,2,204.21,19.92,2438.56,8,11,0
436,3492,510,6,241.01,2.8,2486.21,15,13,0
437,2924,922,6,393.29,19.34,2545.07,8,11,0
438,1336,3073,7,322.75,18.31,217.66,7,2,0
439,4690,1997,1,295.79,18.3,2271.66,18,10,0
440,4366,1458,1,292.09,24.68,1836.56,13,1,0
441,4481,2587,1,103.69,3.56,768.65,11,4,0
442,4115,4396,5,59.8,0.79,1781.72,5,2,0
443,2371,715,1,166.69,6.93,2054.74,8,2,0
444,854,3727,3,385.37,3.3,1717.65,20,12,0
445,2546,1118,1,427.36,22.9,1064.22,2,1,1
446,193,4140,7,399.72,2.35,741.09,4,5,1
447,4999,472,8,83.11,10.9,268.06,15,10,0
448,989,1376,4,459.85,26.95,180.1,13,11,0
449,3887,2262,9,196.85,26.92,1063.79,17,5,0
450,1287,3269,8,419.64,10.75,717.24,18,13,0
451,1353,4421,7,314.94,18.15,1489.14,20,13,0
452,2421,1686,9,397.73,5.91,1695.3,9,1,0
453,1011,881,3,20.0,2.32,1145.09,5,3,0
454,3296,4019,2,220.18,22.94,1146.67,4,12,0
455,3642,4658,5,305.15,0.22,2247.71,14,9,0
456,352,1277,9,188.07,24.87,27.72,17,1,0
457,3152,2773,2,395.75,10.1,2993.45,15,10,0
458,4002,3914,2,363.19,3.97,1328.41,16,5,0
459,176,3006,5,197.96,15.17,1765.85,3,5,0
460,4960,3429,9,222.28,29.18,738.72,13,14,0
461,166,727,9,248.25,22.07,637.02,9,12,0
462,424,717,4,274.83,22.8,2021.67,2,4,1
463,851,1630,9,152.66,12.21,2918.4,16,6,0
464,2461,3625,1,118.39,13.5,2726.05,1,8,0
465,1656,386,9,60.8,25.31,2796.14,8,9,0
466,755,1849,7,74.46,2.52,1529.28,4,7,0
467,2509,1339,9,236.47,1.64,1083.23,2,1,0
468,3623,189,5,333.9,20.68,2300.05,15,3,0
469,3836,4956,6,334.62,8.18,1631.17,5,14,0
470,4242,1269,1,230.96,29.98,2441.22,1,2,0
471,2954,3761,2,311.3,29.83,2099.89,17,12,0
472,4280,689,1,479.71,19.28,1097.61,3,9,0
473,4695,2792,1,491.23,13.89,214.42,14,9,0
474,3512,2018,7,423.18,0.23,891.48,11,10,0
475,2276,2911,3,457.62,18.06,2493.65,14,4,0
476,3489,145,1,72.3,2.68,1389.62,9,5,0
477,2989,532,1,142.99,27.12,2466.19,2,2,0
478,1403,1357,7,477.22,3.44,2096.33,6,6,0
479,1926,2011,5,69.48,2.98,933.7,17,4,0
480,632,2172,1,437.93,21.6,1329.13,3,10,0
481,1738,1627,8,222.41,4.59,1973.76,5,14,0
482,4943,448,6,487.61,17.58,2632.66,16,7,0
483,3500,2697,5,359.69,23.87,127.92,4,2,0
484,3839,725,6,171.83,0.07,2976.39,4,13,0
485,1801,803,8,63.44,4.57,1228.4,3,4,0
486,4292,156,9,123.25,5.34,398.69,20,3,0
487,1638,270,9,353.59,16.62,1000.43,13,7,0
488,2299,3613,3,163.93,23.95,2389.3,15,11,0
489,4510,316,1,474.81,25.81,1727.11,17,9,0
490,4414,4153,6,269.73,1.88,341.41,11,5,0
