order_id,customer_id,order_date,order_status,payment_method,shipping_city,shipping_cost,discount,tax_amount,sales_rep_id
88,795,2023-09-14,Cancelled,Mobile Banking,Khulna,4.49,0.23,12.22,5
89,2723,2024-12-15,Pending,Mobile Banking,Chattogram,33.46,0.28,23.82,37
90,1627,2024-03-14,Cancelled,Mobile Banking,Khulna,8.22,0.2,18.53,77
91,2842,2024-06-20,Delivered,Cash,Rajshahi,14.71,0.27,10.13,29
92,91,2023-06-24,Cancelled,Card,Sylhet,14.82,0.1,4.57,92
93,3678,2024-12-13,Returned,Mobile Banking,Chattogram,23.83,0.25,30.26,49
94,4173,2025-03-17,Pending,Mobile Banking,Sylhet,47.7,0.1,25.51,25
95,3520,2024-05-05,Delivered,Card,Chattogram,16.91,0.27,1.8,10
96,1321,2023-10-10,Pending,Cash,Khulna,14.78,0.24,39.58,98
97,3460,2024-08-27,Returned,Mobile Banking,Dhaka,9.27,0.3,25.88,15
98,2370,2024-07-15,Cancelled,Cash,Chattogram,20.21,0.25,8.68,30
99,2469,2023-08-07,Pending,Mobile Banking,Chattogram,9.92,0.12,33.7,77
100,2594,2023-06-05,Pending,Cash,Sylhet,7.75,0.03,35.34,59
101,1658,2023-02-26,Cancelled,Cash,Dhaka,43.01,0.26,23.16,55
102,3378,2024-05-25,Pending,Mobile Banking,Dhaka,3.58,0.17,35.48,55
103,4038,2025-01-12,Pending,Mobile Banking,Dhaka,35.83,0.26,1.65,69
104,346,2023-12-04,Pending,Cash,Dhaka,10.93,0.12,37.83,14
105,3882,2024-12-19,Returned,Mobile Banking,Rajshahi,1.57,0.01,2.76,74
106,1665,2023-09-29,Returned,Card,Khulna,39.96,0.02,25.87,98
107,3874,2024-12-27,Returned,Cash,Chattogram,35.41,0.2,14.16,95
108,2773,2023-07-03,Delivered,Card,Khulna,17.38,0.03,2.05,56
109,650,2023-10-18,Pending,Mobile Banking,Khulna,4.89,0.22,37.21,61
110,2707,2023-10-29,Cancelled,Card,Khulna,18.67,0.13,5.85,5
111,1913,2024-08-01,Cancelled,Card,Khulna,9.89,0.17,34.22,6
112,3686,2023-09-04,Pending,Cash,Rajshahi,46.69,0.24,13.55,13
113,4862,2023-01-16,Cancelled,Card,Sylhet,26.95,0.08,29.78,40
114,1810,2023-12-01,Delivered,Mobile Banking,Rajshahi,48.23,0.12,10.54,59
115,3261,2023-07-30,Cancelled,Cash,Chattogram,18.21,0.22,23.55,13
116,2113,2024-08-08,Returned,Mobile Banking,Dhaka,28.27,0.28,32.08,46
117,1483,2024-01-08,Returned,Mobile Banking,Sylhet,10.32,0.09,22.86,97
118,676,2025-03-27,Returned,Card,Chattogram,40.61,0.19,12.61,23
119,476,2024-02-10,Returned,Mobile Banking,Dhaka,3.01,0.29,9.72,21
120,326,2024-06-13,Cancelled,Card,Rajshahi,35.09,0.19,7.4,72
121,3264,2023-01-22,Pending,Cash,Khulna,20.19,0.27,33.63,34
122,2136,2024-09-09,Delivered,Cash,Chattogram,29.34,0.28,24.63,53
123,4254,2023-04-29,Delivered,Card,Khulna,30.02,0.28,20.59,95
124,1297,2024-06-11,Cancelled,Cash,Khulna,35.83,0.23,10.36,31
125,282,2023-07-03,Cancelled,Cash,Khulna,11.01,0.17,17.63,84
126,657,2024-05-29,Returned,Cash,Sylhet,27.04,0.03,24.99,99
127,2211,2024-05-06,Pending,Cash,Dhaka,21.92,0.07,3.34,66
128,3246,2024-05-20,Returned,Card,Khulna,14.83,0.08,14.75,88
129,901,2024-09-26,Pending,Card,Chattogram,25.29,0.01,9.96,75
130,4427,2025-01-24,Returned,Mobile Banking,Sylhet,47.65,0.03,26.04,68
131,144,2024-03-12,Delivered,Mobile Banking,Dhaka,47.5,0.09,24.45,26
132,3370,2025-03-13,Pending,Cash,Chattogram,14.66,0.03,12.33,14
133,3934,2023-04-15,Delivered,Card,Sylhet,44.33,0.05,2.14,84
134,2488,2023-04-13,Returned,Card,Sylhet,43.96,0.02,7.72,100
135,2536,2023-07-27,Delivered,Card,Dhaka,13.23,0.12,6.82,25
136,1414,2024-10-22,Cancelled,Mobile Banking,Khulna,30.35,0.25,22.95,74
137,1044,2024-12-05,Delivered,Cash,Chattogram,43.63,0.24,7.19,99
138,2584,2025-04-04,Delivered,Card,Rajshahi,26.23,0.27,19.55,64
139,3675,2025-01-03,Returned,Mobile Banking,Khulna,19.12,0.22,24.77,69
140,650,2023-02-16,Delivered,Card,Rajshahi,32.89,0.07,35.24,68
141,4761,2023-10-31,Delivered,Card,Chattogram,9.45,0.21,10.18,20
142,3292,2023-06-16,Cancelled,Mobile Banking,Rajshahi,8.92,0.23,7.84,87
143,2922,2024-05-08,Pending,Mobile Banking,Rajshahi,41.8,0.16,7.34,43
144,173,2023-03-28,Pending,Card,Dhaka,3.05,0.24,14.74,5
145,3022,2023-08-14,Delivered,Cash,Dhaka,40.38,0.02,26.14,93
146,2049,2023-04-30,Pending,Cash,Dhaka,15.23,0.18,27.04,93
147,4079,2023-09-05,Pending,Mobile Banking,Rajshahi,24.67,0.14,8.83,32
148,3097,2024-05-19,Delivered,Card,Rajshahi,27.63,0.24,5.68,86
149,2928,2023-12-19,Returned,Mobile Banking,Sylhet,38.59,0.04,18.22,45
150,1895,2023-05-24,Delivered,Card,Sylhet,44.31,0.06,6.08,43
151,3977,2025-01-14,Pending,Card,Dhaka,40.41,0.17,32.61,71
152,3263,2023-12-16,Cancelled,Card,Sylhet,29.04,0.28,3.81,97
153,409,2024-05-29,Pending,Mobile Banking,Khulna,18.05,0.02,30.21,22
154,3550,2025-01-18,Returned,Mobile Banking,Sylhet,26.8,0.22,2.18,41
155,3376,2023-11-13,Delivered,Mobile Banking,Sylhet,2.47,0.06,32.38,58
156,4023,2025-02-08,Pending,Mobile Banking,Khulna,13.0,0.03,25.27,59
157,578,2023-01-26,Pending,Cash,Khulna,18.94,0.12,13.23,28
158,3608,2024-06-13,Cancelled,Card,Chattogram,16.67,0.17,16.52,85
159,4178,2023-11-18,Returned,Mobile Banking,Rajshahi,5.66,0.25,27.11,55
160,603,2023-10-23,Pending,Card,Rajshahi,3.49,0.19,7.83,51
161,3756,2023-05-11,Pending,Cash,Dhaka,21.62,0.15,35.67,36
162,4070,2023-01-17,Delivered,Mobile Banking,Chattogram,4.67,0.09,19.57,68
163,988,2025-02-08,Returned,Cash,Chattogram,15.02,0.09,30.53,43
164,4237,2024-08-04,Cancelled,Mobile Banking,Chattogram,24.27,0.23,20.51,6
165,2316,2023-07-04,Pending,Card,Chattogram,11.29,0.03,18.37,83
166,4235,2023-02-18,Returned,Cash,Sylhet,4.9,0.04,19.05,51
167,3119,2025-04-04,Returned,Cash,Chattogram,22.17,0.22,14.84,53
168,1084,2025-04-03,Returned,Mobile Banking,Dhaka,22.98,0.29,29.44,11
169,2609,2023-03-17,Returned,Card,Rajshahi,45.87,0.04,33.92,50
170,1588,2025-02-27,Pending,Card,Chattogram,7.26,0.18,34.25,17
171,1085,2024-06-11,Returned,Card,Rajshahi,31.13,0.07,5.29,46
172,1750,2023-01-06,Delivered,Card,Khulna,16.67,0.01,30.57,82
173,3167,2023-02-03,Delivered,Mobile Banking,Dhaka,7.06,0.25,8.4,46
174,1656,2023-02-28,Cancelled,Cash,Khulna,20.26,0.15,0.98,77
175,3547,2023-03-08,Cancelled,Mobile Banking,Chattogram,21.97,0.01,11.38,41
176,40,2023-09-12,Returned,Card,Sylhet,18.81,0.27,12.07,51
177,1351,2025-03-19,Cancelled,Cash,Sylhet,38.52,0.16,32.49,11
178,1995,2024-02-07,Returned,Cash,Dhaka,42.12,0.22,29.82,51
179,2454,2023-06-06,Delivered,Card,Chattogram,8.29,0.13,3.85,27
180,744,2023-02-01,Delivered,Mobile Banking,Chattogram,9.23,0.06,13.38,49
181,3283,2023-01-10,Delivered,Mobile Banking,Chattogram,21.64,0.14,10.43,16
182,4134,2024-12-04,Delivered,Card,Chattogram,16.69,0.09,24.02,50
183,2365,2024-01-10,Cancelled,Cash,Dhaka,41.16,0.09,21.89,15
184,1107,2024-12-31,Cancelled,Cash,Dhaka,49.84,0.19,27.32,54
185,3428,2023-12-15,Returned,Mobile Banking,Dhaka,9.87,0.03,36.47,14
186,630,2024-08-11,Cancelled,Cash,Sylhet,38.36,0.12,17.13,79
187,4911,2024-06-15,Delivered,Card,Chattogram,30.76,0.16,26.41,82
188,4635,2023-06-05,Delivered,Cash,Khulna,32.58,0.21,36.77,76
189,2257,2023-01-27,Returned,Mobile Banking,Rajshahi,13.96,0.19,21.9,26
190,3986,2023-06-02,Delivered,Mobile Banking,Dhaka,5.76,0.27,12.68,40
191,492,2025-06-10,Delivered,Card,Dhaka,27.62,0.3,16.41,18
192,4680,2023-10-12,Returned,Mobile Banking,Sylhet,31.06,0.28,30.31,26
193,4154,2024-09-19,Returned,Card,Sylhet,48.19,0.23,28.94,18
194,1483,2023-09-07,Pending,Cash,Rajshahi,34.09,0.21,30.06,1
195,1950,2024-03-04,Cancelled,Cash,Sylhet,22.74,0.01,29.86,16
196,2444,2024-07-10,Cancelled,Cash,Dhaka,49.71,0.16,36.86,21
197,3134,2023-10-13,Returned,Card,Chattogram,19.29,0.2,30.68,72
198,3518,2024-05-20,Pending,Mobile Banking,Chattogram,8.97,0.12,34.29,66
199,2135,2023-10-21,Cancelled,Card,Sylhet,31.28,0.12,23.16,83
200,1862,2024-03-19,Delivered,Cash,Rajshahi,14.05,0.16,25.94,93
201,611,2023-10-15,Returned,Cash,Chattogram,46.19,0.27,38.72,94
202,1148,2023-11-02,Returned,Cash,Dhaka,21.97,0.08,34.88,3
203,4742,2023-03-12,Cancelled,Cash,Chattogram,8.33,0.12,31.21,8
204,2331,2023-06-12,Delivered,Cash,Rajshahi,7.94,0.2,27.58,99
205,2562,2024-04-25,Delivered,Card,Sylhet,32.83,0.06,14.66,18
206,829,2024-08-10,Returned,Cash,Khulna,18.93,0.25,22.15,90
207,1696,2023-12-09,Returned,Card,Chattogram,18.82,0.2,2.68,25
208,2205,2024-05-31,Delivered,Card,Dhaka,31.0,0.11,16.94,72
209,2274,2023-04-17,Returned,Cash,Rajshahi,11.85,0.22,4.92,18
210,2881,2024-09-22,Pending,Cash,Chattogram,8.13,0.08,29.28,24
211,3466,2025-03-09,Cancelled,Cash,Khulna,33.21,0.23,35.75,69
212,266,2024-08-31,Delivered,Card,Sylhet,1.26,0.02,7.38,26
213,1290,2024-11-23,Cancelled,Mobile Banking,Chattogram,45.46,0.13,10.2,74
214,3621,2024-05-12,Pending,Card,Rajshahi,9.97,0.08,34.35,11
215,3392,2023-01-01,Returned,Cash,Chattogram,22.94,0.25,23.64,4
216,473,2024-08-20,Cancelled,Card,Sylhet,11.36,0.23,23.74,10
217,2576,2024-04-20,Cancelled,Mobile Banking,Rajshahi,11.69,0.25,22.73,12
218,1897,2024-03-28,Returned,Mobile Banking,Khulna,41.92,0.2,9.12,74
219,3155,2023-03-06,Cancelled,Mobile Banking,Dhaka,29.67,0.24,10.11,12
220,890,2024-04-29,Cancelled,Card,Sylhet,16.26,0.13,38.01,5
221,3500,2024-09-06,Pending,Mobile Banking,Chattogram,13.3,0.2,29.08,91
222,1612,2024-02-26,Cancelled,Mobile Banking,Khulna,11.43,0.01,4.07,97
223,4477,2024-06-19,Returned,Card,Rajshahi,28.17,0.26,9.31,96
224,186,2023-05-31,Returned,Cash,Rajshahi,36.81,0.21,25.27,5
225,4006,2025-03-25,Returned,Mobile Banking,Rajshahi,13.42,0.26,11.7,23
226,3334,2024-01-26,Delivered,Card,Chattogram,17.28,0.23,10.44,56
227,2227,2025-02-03,Pending,Mobile Banking,Sylhet,36.3,0.09,8.49,88
228,3214,2024-02-19,Cancelled,Card,Khulna,37.13,0.08,7.84,46
229,4016,2023-01-07,Cancelled,Cash,Rajshahi,11.16,0.24,24.73,2
230,1292,2024-05-30,Returned,Card,Dhaka,19.73,0.06,36.28,94
231,2674,2025-02-01,Returned,Card,Sylhet,43.63,0.03,14.76,74
232,2518,2024-11-24,Returned,Mobile Banking,Khulna,37.27,0.0,5.3,1
233,3764,2024-04-10,Returned,Card,Khulna,8.96,0.09,5.41,13
234,3049,2023-04-14,Delivered,Cash,Rajshahi,19.91,0.03,37.38,60
235,2155,2024-04-08,Pending,Card,Dhaka,48.69,0.24,21.39,36
236,3103,2024-07-17,Pending,Card,Rajshahi,26.74,0.15,18.92,62
237,3619,2024-08-16,Delivered,Card,Sylhet,36.25,0.08,35.68,63
238,3844,2025-04-27,Cancelled,Cash,Chattogram,5.51,0.18,20.53,67
239,521,2024-07-13,Cancelled,Cash,Sylhet,41.79,0.02,19.48,16
240,1645,2023-12-17,Pending,Card,Dhaka,30.63,0.22,37.1,78
241,655,2024-12-29,Pending,Card,Chattogram,9.6,0.15,19.24,40
242,42,2025-04-13,Cancelled,Card,Khulna,19.63,0.0,15.94,48
243,2912,2024-01-01,Delivered,Mobile Banking,Rajshahi,5.07,0.1,23.48,46
244,3785,2025-06-11,Delivered,Cash,Sylhet,39.07,0.23,39.1,5
245,3952,2023-07-01,Cancelled,Card,Rajshahi,37.5,0.06,38.57,25
246,1824,2023-08-31,Delivered,Card,Sylhet,25.02,0.29,31.14,38
247,4944,2023-08-08,Returned,Cash,Rajshahi,23.15,0.27,20.22,54
248,2309,2023-07-27,Pending,Mobile Banking,Chattogram,23.71,0.23,35.32,93
249,1514,2024-09-30,Cancelled,Card,Rajshahi,2.84,0.02,17.07,81
250,4767,2023-07-01,Returned,Cash,Dhaka,19.04,0.11,25.79,73
251,3737,2025-05-17,Returned,Mobile Banking,Dhaka,7.3,0.09,7.59,82
252,1281,2024-03-04,Delivered,Cash,Rajshahi,10.05,0.04,26.62,76
253,4925,2025-03-18,Delivered,Cash,Khulna,48.14,0.3,11.41,45
254,3139,2023-02-04,Pending,Card,Dhaka,13.83,0.04,30.98,39
255,220,2025-03-02,Pending,Cash,Sylhet,24.7,0.09,16.85,28
256,3395,2024-11-05,Cancelled,Card,Rajshahi,44.5,0.26,16.24,53
257,4010,2025-05-11,Pending,Mobile Banking,Rajshahi,21.26,0.04,29.99,54
258,4960,2024-02-25,Returned,Card,Dhaka,26.9,0.14,17.3,96
259,3808,2023-07-22,Pending,Cash,Khulna,9.27,0.29,28.7,20
260,2033,2025-05-26,Returned,Cash,Sylhet,14.97,0.07,34.28,55
261,1630,2023-06-11,Returned,Cash,Dhaka,25.8,0.21,5.91,65
262,3250,2025-01-11,Cancelled,Card,Dhaka,18.88,0.02,19.42,76
263,461,2025-05-20,Delivered,Mobile Banking,Chattogram,2.87,0.18,37.82,22
264,290,2024-02-12,Pending,Mobile Banking,Dhaka,20.64,0.1,32.58,51
265,1136,2023-12-15,Cancelled,Cash,Sylhet,40.94,0.21,38.96,72
266,2514,2023-01-04,Pending,Card,Chattogram,6.69,0.13,34.48,12
267,224,2023-12-27,Returned,Cash,Khulna,1.92,0.09,12.75,59
268,2446,2024-08-12,Pending,Card,Khulna,6.82,0.16,7.58,54
269,454,2024-10-25,Delivered,Mobile Banking,Dhaka,34.66,0.04,8.82,53
270,4459,2023-12-24,Pending,Card,Sylhet,39.94,0.24,9.07,88
271,2047,2024-09-19,Pending,Card,Khulna,3.39,0.23,3.49,38
272,2723,2025-05-15,Returned,Cash,Sylhet,44.49,0.16,36.32,92
273,4099,2023-02-05,Pending,Card,Sylhet,31.74,0.11,20.35,12
274,4689,2023-12-01,Delivered,Mobile Banking,Chattogram,26.39,0.27,4.5,95
275,3876,2023-10-18,Pending,Mobile Banking,Dhaka,13.43,0.19,30.62,92
276,691,2023-10-12,Returned,Mobile Banking,Sylhet,19.21,0.09,13.36,73
277,849,2023-02-05,Cancelled,Cash,Sylhet,47.4,0.24,3.31,86
278,3387,2023-11-20,Returned,Card,Sylhet,45.67,0.19,8.0,7
279,4702,2024-04-07,Returned,Card,Dhaka,31.65,0.04,26.47,68
280,4825,2024-01-30,Returned,Cash,Chattogram,29.37,0.03,31.86,29
281,2469,2024-07-20,Cancelled,Mobile Banking,Sylhet,11.32,0.28,10.52,45
282,1429,2023-02-18,Delivered,Mobile Banking,Rajshahi,47.71,0.09,23.29,10
283,2316,2024-04-07,Returned,Cash,Chattogram,38.01,0.2,0.53,85
284,3926,2023-11-09,Returned,Cash,Dhaka,19.73,0.01,11.5,4
285,2616,2023-12-21,Delivered,Mobile Banking,Khulna,40.98,0.17,7.67,24
286,739,2023-12-09,Delivered,Mobile Banking,Sylhet,11.38,0.07,3.52,85
287,4752,2023-02-24,Pending,Card,Rajshahi,11.45,0.04,19.61,82
288,2219,2023-11-08,Delivered,Mobile Banking,Khulna,39.76,0.23,25.43,26
289,2353,2025-04-21,Cancelled,Mobile Banking,Khulna,28.41,0.24,2.33,56
290,3240,2023-09-17,Returned,Card,Sylhet,28.24,0.21,5.95,72
291,875,2025-05-26,Returned,Cash,Sylhet,29.11,0.0,37.33,23
292,335,2024-10-03,Cancelled,Card,Khulna,7.16,0.09,9.31,9
293,1179,2023-03-29,Pending,Card,Rajshahi,18.13,0.11,30.52,25
294,630,2023-11-16,Returned,Mobile Banking,Chattogram,29.08,0.21,30.04,100
295,81,2024-01-25,Returned,Cash,Sylhet,13.13,0.23,13.2,32
296,910,2025-05-01,Pending,Mobile Banking,Sylhet,25.7,0.19,8.56,7
297,450,2023-09-27,Pending,Cash,Dhaka,28.29,0.24,10.14,97
298,3071,2025-05-21,Pending,Card,Sylhet,47.2,0.13,22.85,59
299,2971,2024-04-04,Cancelled,Cash,Dhaka,13.04,0.16,15.56,59
300,4079,2023-12-27,Cancelled,Mobile Banking,Khulna,22.53,0.02,20.07,95
301,1980,2023-05-06,Delivered,Cash,Rajshahi,49.09,0.13,32.56,62
302,4776,2025-04-18,Pending,Cash,Dhaka,10.15,0.13,20.34,17
303,3396,2023-07-04,Cancelled,Cash,Dhaka,39.22,0.18,39.81,35
304,730,2023-12-31,Cancelled,Mobile Banking,Chattogram,9.68,0.11,26.8,86
305,3300,2024-06-25,Delivered,Card,Khulna,42.65,0.07,8.69,58
306,3012,2024-12-20,Cancelled,Card,Dhaka,24.91,0.07,20.23,29
307,3021,2023-01-08,Returned,Cash,Dhaka,48.64,0.04,32.63,63
308,1014,2024-10-15,Cancelled,Cash,Khulna,9.33,0.21,9.12,56
309,4776,2025-03-26,Pending,Cash,Sylhet,34.71,0.19,29.31,63
310,1321,2024-12-24,Delivered,Card,Rajshahi,35.07,0.17,1.82,82
311,3265,2025-03-06,Pending,Mobile Banking,Khulna,36.22,0.16,37.73,47
312,4609,2024-02-18,Pending,Cash,Chattogram,5.95,0.11,26.7,74
313,4683,2023-05-12,Delivered,Cash,Chattogram,15.14,0.23,6.92,15
314,4944,2023-12-22,Returned,Cash,Rajshahi,17.56,0.28,35.03,57
315,2909,2023-11-19,Delivered,Card,Chattogram,16.89,0.13,3.73,7
316,3044,2023-04-12,Returned,Card,Khulna,34.08,0.12,16.53,78
317,2191,2025-03-05,Returned,Mobile Banking,Sylhet,3.69,0.05,29.61,90
318,2242,2024-04-10,Pending,Cash,Chattogram,36.77,0.2,37.53,18
319,2570,2024-03-04,Pending,Cash,Khulna,26.8,0.17,14.28,82
320,3505,2023-03-16,Pending,Card,Chattogram,9.48,0.3,33.31,6
321,1303,2023-04-10,Pending,Card,Dhaka,12.08,0.18,8.27,43
322,790,2025-01-13,Delivered,Cash,Dhaka,5.78,0.09,1.89,89
323,3300,2025-03-13,Cancelled,Cash,Sylhet,23.49,0.17,1.64,57
324,1965,2023-08-24,Delivered,Cash,Dhaka,30.15,0.3,26.5,41
325,417,2023-09-26,Cancelled,Card,Dhaka,29.47,0.22,6.59,76
326,3273,2025-06-06,Delivered,Cash,Chattogram,48.16,0.04,2.49,51
327,1345,2024-07-20,Pending,Mobile Banking,Chattogram,15.5,0.1,39.08,61
328,2738,2023-09-11,Cancelled,Card,Rajshahi,38.34,0.09,10.06,94
329,2416,2024-12-27,Delivered,Mobile Banking,Sylhet,36.43,0.26,18.77,19
330,2646,2025-03-21,Delivered,Mobile Banking,Dhaka,4.01,0.18,24.72,21
331,2608,2023-11-25,Returned,Card,Rajshahi,46.57,0.24,6.21,80
332,805,2025-04-15,Delivered,Cash,Chattogram,46.63,0.05,14.61,35
333,2766,2023-10-26,Pending,Mobile Banking,Rajshahi,20.42,0.27,26.08,71
334,1953,2025-03-18,Delivered,Cash,Dhaka,21.47,0.02,25.77,54
335,3398,2024-01-05,Delivered,Mobile Banking,Rajshahi,41.16,0.11,33.76,83
336,4919,2024-11-01,Pending,Card,Khulna,25.26,0.0,17.78,26
