product_id,product_name,category,subcategory,brand,unit_price,cost_price,supplier_id,stock_qty,launch_year
110,Product110,Beauty,E,BrandZ,256.5,25.49,343,488,2025
111,Product111,Sports,A,BrandA,71.27,164.95,70,150,2022
112,Product112,Sports,B,BrandY,195.76,232.38,363,373,2018
113,Product113,Sports,E,BrandX,95.17,285.12,190,769,2022
114,Product114,Sports,A,BrandX,136.06,210.16,472,812,2022
115,Product115,Home,D,BrandY,354.66,31.65,486,630,2022
116,Product116,Home,A,BrandX,428.13,28.38,106,448,2025
117,Product117,Electronics,A,BrandX,16.34,220.02,70,421,2023
118,Product118,Fashion,D,BrandX,285.12,66.17,10,645,2018
119,Product119,Sports,D,BrandA,22.85,135.28,214,943,2020
120,Product120,Beauty,B,BrandX,47.2,293.03,471,939,2023
121,Product121,Home,E,BrandA,354.02,246.33,5,206,2023
122,Product122,Fashion,A,BrandY,369.13,254.28,28,774,2024
123,Product123,Electronics,C,BrandA,407.92,258.51,315,833,2024
124,Product124,Fashion,C,BrandX,239.75,186.62,393,701,2024
125,Product125,Sports,B,BrandX,430.6,223.69,423,669,2024
126,Product126,Fashion,C,BrandX,87.58,108.97,241,476,2024
127,Product127,Sports,B,BrandA,128.61,299.54,236,587,2018
128,Product128,Home,E,BrandZ,71.58,85.33,92,563,2019
129,Product129,Home,B,BrandZ,399.78,177.82,318,225,2020
130,Product130,Sports,D,BrandY,118.19,86.05,345,605,2024
131,Product131,Beauty,D,BrandY,81.98,35.4,363,803,2025
132,Product132,Home,D,BrandY,313.44,171.14,38,802,2023
133,Product133,Beauty,D,BrandX,43.16,107.3,219,833,2023
134,Product134,Sports,D,BrandZ,27.23,175.8,152,689,2018
135,Product135,Sports,D,BrandZ,57.83,168.49,192,386,2019
136,Product136,Home,D,BrandY,5.12,163.59,121,105,2024
137,Product137,Beauty,D,BrandZ,350.01,38.74,491,75,2025
138,Product138,Sports,D,BrandY,283.31,133.17,171,515,2019
139,Product139,Home,E,BrandX,108.89,243.98,110,822,2021
140,Product140,Sports,D,BrandZ,120.34,95.91,144,947,2024
141,Product141,Fashion,B,BrandX,406.43,134.26,66,186,2021
142,Product142,Fashion,E,BrandX,253.4,149.16,322,966,2023
143,Product143,Home,C,BrandZ,350.77,259.09,197,531,2023
144,Product144,Sports,A,BrandA,229.11,197.37,46,274,2022
145,Product145,Home,E,BrandY,122.67,31.86,149,647,2020
146,Product146,Electronics,D,BrandZ,485.35,259.82,60,962,2018
147,Product147,Home,E,BrandX,285.0,249.96,138,538,2022
148,Product148,Home,A,BrandY,69.84,226.59,490,974,2020
149,Product149,Fashion,A,BrandX,206.01,140.89,402,647,2023
150,Product150,Fashion,D,BrandY,168.02,227.75,90,17,2021
151,Product151,Sports,D,BrandZ,110.97,144.67,212,284,2018
152,Product152,Home,B,BrandX,467.05,221.51,169,301,2019
153,Product153,Home,A,BrandY,441.06,264.27,420,498,2019
154,Product154,Sports,D,BrandY,103.58,267.38,113,931,2022
155,Product155,Beauty,A,BrandZ,179.31,137.46,341,898,2022
156,Product156,Sports,B,BrandY,382.35,258.08,66,904,2018
157,Product157,Fashion,C,BrandY,108.21,32.23,302,649,2019
158,Product158,Fashion,A,BrandX,297.82,32.34,118,743,2024
159,Product159,Home,B,BrandZ,351.4,165.38,225,851,2024
160,Product160,Fashion,B,BrandZ,328.72,196.25,151,961,2022
161,Product161,Sports,B,BrandX,354.67,47.59,167,256,2025
162,Product162,Home,E,BrandA,354.82,142.71,95,218,2019
163,Product163,Sports,D,BrandX,482.58,30.12,260,643,2021
164,Product164,Sports,A,BrandX,176.52,181.43,425,943,2022
165,Product165,Home,E,BrandA,439.9,256.82,259,356,2023
166,Product166,Beauty,A,BrandY,15.79,221.82,485,255,2024
167,Product167,Fashion,E,BrandZ,147.66,114.73,437,607,2020
168,Product168,Electronics,D,BrandZ,29.08,298.15,120,273,2025
169,Product169,Electronics,B,BrandA,327.35,199.55,74,333,2022
170,Product170,Electronics,A,BrandZ,54.89,244.94,362,812,2021
171,Product171,Fashion,B,BrandA,423.62,201.57,96,367,2018
172,Product172,Beauty,D,BrandY,325.06,296.85,292,14,2024
173,Product173,Sports,A,BrandA,19.26,246.77,177,178,2019
174,Product174,Home,C,BrandZ,358.81,156.79,27,444,2024
175,Product175,Beauty,C,BrandZ,431.71,111.33,309,771,2025
176,Product176,Electronics,C,BrandA,332.25,205.28,305,402,2023
177,Product177,Fashion,D,BrandZ,20.11,177.89,211,87,2018
178,Product178,Fashion,C,BrandA,429.67,189.55,358,93,2024
179,Product179,Home,A,BrandZ,367.57,104.22,257,844,2022
180,Product180,Sports,C,BrandX,192.33,129.76,474,394,2020
181,Product181,Beauty,A,BrandY,167.67,168.31,430,27,2018
182,Product182,Beauty,D,BrandZ,242.51,252.11,318,696,2024
183,Product183,Beauty,B,BrandZ,434.22,229.35,205,74,2020
184,Product184,Sports,E,BrandZ,129.77,37.36,355,53,2022
185,Product185,Sports,C,BrandA,54.98,75.18,66,320,2024
186,Product186,Sports,E,BrandZ,433.0,9.94,150,558,2020
187,Product187,Home,B,BrandA,18.01,4.37,167,759,2020
188,Product188,Fashion,D,BrandZ,455.94,68.86,220,233,2021
189,Product189,Electronics,D,BrandX,156.34,240.2,300,629,2024
190,Product190,Sports,B,BrandX,256.57,271.61,258,771,2018
191,Product191,Fashion,E,BrandY,70.49,118.75,203,229,2022
192,Product192,Sports,C,BrandA,451.62,169.83,240,801,2021
193,Product193,Electronics,A,BrandY,376.17,212.4,315,752,2020
194,Product194,Sports,D,BrandZ,462.46,285.98,229,331,2021
195,Product195,Fashion,B,BrandZ,343.2,274.05,474,693,2021
196,Product196,Home,E,BrandX,96.42,19.04,156,471,2020
197,Product197,Electronics,C,BrandY,157.59,75.95,218,316,2022
198,Product198,Fashion,E,BrandZ,245.99,16.65,465,100,2024
199,Product199,Beauty,C,BrandZ,305.59,185.73,195,247,2025
200,Product200,Beauty,A,BrandA,463.6,213.73,270,479,2019
201,Product201,Beauty,A,BrandZ,195.06,93.87,16,978,2021
202,Product202,Home,B,BrandY,353.02,256.45,241,860,2018
203,Product203,Sports,B,BrandX,480.7,136.94,252,869,2020
204,Product204,Sports,C,BrandX,80.43,299.52,51,624,2019
205,Product205,Sports,C,BrandZ,432.04,2.12,356,220,2025
206,Product206,Home,C,BrandZ,213.25,34.63,28,338,2021
207,Product207,Beauty,C,BrandZ,367.55,91.93,476,147,2025
208,Product208,Sports,A,BrandA,150.3,9.6,53,898,2020
209,Product209,Home,B,BrandZ,170.32,235.14,308,295,2020
210,Product210,Home,B,BrandZ,18.43,17.73,116,708,2021
211,Product211,Fashion,D,BrandA,485.85,225.2,409,406,2024
212,Product212,Sports,B,BrandY,407.66,17.67,441,580,2023
213,Product213,Beauty,B,BrandA,51.49,77.31,9,477,2023
214,Product214,Electronics,E,BrandX,499.76,252.7,11,799,2018
215,Product215,Home,E,BrandA,304.49,285.43,485,23,2020
216,Product216,Fashion,D,BrandA,427.6,125.53,107,880,2020
217,Product217,Electronics,C,BrandY,38.0,291.04,301,946,2021
218,Product218,Home,D,BrandY,197.78,188.81,341,882,2019
219,Product219,Fashion,D,BrandZ,336.48,125.92,258,185,2020
220,Product220,Sports,A,BrandA,57.68,241.23,182,169,2024
221,Product221,Fashion,B,BrandY,247.01,90.01,418,802,2020
222,Product222,Home,A,BrandX,224.13,81.21,170,543,2021
223,Product223,Sports,B,BrandZ,111.94,197.65,461,437,2023
224,Product224,Beauty,D,BrandA,153.63,118.37,325,300,2020
225,Product225,Fashion,B,BrandX,483.72,42.5,139,687,2024
226,Product226,Electronics,C,BrandY,147.88,21.96,285,363,2021
227,Product227,Sports,C,BrandZ,110.65,236.78,111,853,2018
228,Product228,Sports,D,BrandX,270.42,203.42,92,980,2021
229,Product229,Beauty,E,BrandA,337.12,124.72,220,987,2024
230,Product230,Fashion,C,BrandX,363.92,269.08,5,176,2023
231,Product231,Electronics,D,BrandZ,378.35,124.44,20,801,2019
232,Product232,Beauty,A,BrandA,23.23,213.67,101,143,2020
233,Product233,Fashion,E,BrandA,199.91,272.92,295,522,2018
234,Product234,Electronics,C,BrandX,388.11,252.53,458,480,2025
235,Product235,Electronics,D,BrandZ,452.9,154.31,416,491,2020
236,Product236,Home,D,BrandA,303.09,204.83,157,485,2020
237,Product237,Electronics,A,BrandZ,30.89,125.27,450,658,2024
238,Product238,Fashion,A,BrandY,201.34,194.86,383,859,2025
239,Product239,Beauty,E,BrandX,41.74,78.75,1,924,2023
240,Product240,Beauty,C,BrandZ,375.53,131.55,212,484,2021
241,Product241,Home,D,BrandY,36.44,64.44,119,821,2020
242,Product242,Fashion,E,BrandY,96.94,13.38,385,436,2023
243,Product243,Electronics,E,BrandZ,211.39,177.38,260,194,2018
244,Product244,Home,A,BrandZ,234.01,259.6,399,465,2024
245,Product245,Sports,D,BrandX,206.21,9.62,175,977,2023
246,Product246,Fashion,B,BrandX,234.38,60.42,414,75,2023
247,Product247,Home,A,BrandA,358.05,139.14,134,977,2023
248,Product248,Beauty,D,BrandX,187.79,200.44,102,159,2024
249,Product249,Home,E,BrandZ,276.14,53.03,385,489,2022
250,Product250,Sports,E,BrandA,155.17,18.9,455,99,2023
251,Product251,Fashion,C,BrandY,180.05,156.68,62,115,2020
252,Product252,Home,B,BrandY,308.83,245.98,448,379,2023
253,Product253,Electronics,A,BrandZ,247.79,12.5,389,594,2021
254,Product254,Fashion,C,BrandA,362.9,106.11,54,823,2019
255,Product255,Home,C,BrandA,282.47,199.73,305,62,2020
256,Product256,Home,B,BrandX,402.77,40.96,7,131,2023
257,Product257,Fashion,A,BrandY,224.49,72.31,356,247,2023
258,Product258,Beauty,A,BrandY,248.06,161.58,3,394,2021
259,Product259,Electronics,E,BrandX,336.64,286.06,332,642,2025
260,Product260,Fashion,A,BrandY,114.52,87.63,379,410,2020
261,Product261,Electronics,C,BrandX,196.04,147.28,445,878,2022
262,Product262,Electronics,E,BrandY,314.3,121.18,335,975,2022
263,Product263,Fashion,A,BrandY,19.29,269.42,468,427,2018
264,Product264,Home,B,BrandY,221.3,23.42,425,913,2022
265,Product265,Beauty,C,BrandX,301.43,170.71,149,669,2024
266,Product266,Electronics,D,BrandY,483.85,254.14,288,727,2024
267,Product267,Electronics,B,BrandY,439.12,296.46,12,325,2025
268,Product268,Home,B,BrandA,143.97,210.22,485,942,2021
269,Product269,Fashion,A,BrandY,256.07,115.22,104,545,2022
270,Product270,Beauty,E,BrandZ,32.93,124.72,111,374,2021
271,Product271,Electronics,E,BrandY,124.17,106.8,263,843,2020
272,Product272,Electronics,C,BrandY,388.55,181.88,435,297,2018
273,Product273,Fashion,A,BrandA,66.04,222.34,173,278,2023
274,Product274,Home,E,BrandA,132.56,246.2,95,995,2023
275,Product275,Sports,D,BrandX,472.3,126.14,321,295,2023
276,Product276,Home,A,BrandX,412.81,215.58,444,526,2025
277,Product277,Electronics,A,BrandZ,392.0,275.03,203,114,2018
278,Product278,Electronics,E,BrandA,432.96,276.41,45,975,2023
279,Product279,Beauty,B,BrandX,376.05,211.8,34,492,2022
280,Product280,Home,A,BrandX,64.69,191.8,211,56,2024
281,Product281,Sports,B,BrandX,260.7,160.39,395,878,2023
282,Product282,Beauty,C,BrandA,224.9,56.59,225,141,2023
283,Product283,Sports,C,BrandA,159.02,38.84,417,718,2019
284,Product284,Beauty,E,BrandZ,417.85,146.74,264,651,2024
285,Product285,Home,C,BrandA,234.75,49.51,301,618,2022
286,Product286,Electronics,E,BrandA,34.85,173.95,456,884,2023
287,Product287,Sports,E,BrandA,141.11,194.42,226,802,2019
288,Product288,Home,B,BrandZ,118.17,158.63,104,408,2022
289,Product289,Sports,B,BrandY,444.3,12.86,475,77,2021
290,Product290,Home,C,BrandY,325.48,19.2,221,1,2021
291,Product291,Beauty,B,BrandX,282.39,35.78,334,785,2023
292,Product292,Home,A,BrandY,255.79,47.79,418,34,2023
293,Product293,Beauty,D,BrandY,326.81,296.99,301,776,2025
294,Product294,Electronics,A,BrandZ,378.66,104.66,123,394,2025
295,Product295,Beauty,A,BrandZ,279.42,89.01,485,217,2019
296,Product296,Fashion,E,BrandY,469.45,17.58,449,66,2018
297,Product297,Electronics,D,BrandY,488.53,191.33,457,68,2025
298,Product298,Home,E,BrandY,497.69,196.35,436,223,2019
299,Product299,Home,B,BrandX,336.35,54.28,394,360,2020
300,Product300,Fashion,B,BrandZ,466.65,275.93,222,457,2018
301,Product301,Home,D,BrandY,205.22,240.55,43,293,2019
302,Product302,Electronics,C,BrandA,430.5,70.64,210,325,2024
303,Product303,Electronics,B,BrandY,455.04,146.78,337,202,2025
304,Product304,Beauty,A,BrandA,452.55,138.6,454,592,2024
305,Product305,Sports,D,BrandX,416.27,105.86,11,954,2020
306,Product306,Home,D,BrandA,206.27,245.66,216,577,2020
307,Product307,Fashion,B,BrandZ,83.66,34.56,164,296,2025
308,Product308,Electronics,B,BrandX,170.31,125.76,225,791,2024
309,Product309,Electronics,E,BrandX,384.81,129.55,225,945,2025
310,Product310,Electronics,E,BrandY,120.28,141.68,246,260,2023
311,Product311,Sports,A,BrandX,241.74,258.68,146,788,2024
312,Product312,Sports,D,BrandX,284.87,67.01,191,517,2022
313,Product313,Home,C,BrandA,303.91,32.67,261,131,2023
314,Product314,Fashion,C,BrandY,468.18,186.11,287,776,2025
315,Product315,Sports,D,BrandZ,332.44,53.8,16,324,2019
316,Product316,Beauty,A,BrandY,394.22,24.33,194,67,2024
317,Product317,Sports,E,BrandZ,293.03,129.14,9,125,2021
318,Product318,Electronics,E,BrandA,417.62,67.45,2,392,2024
319,Product319,Fashion,E,BrandX,135.51,109.64,293,401,2023
320,Product320,Home,C,BrandX,108.89,79.39,84,826,2022
321,Product321,Sports,C,BrandY,463.53,29.61,443,682,2023
322,Product322,Electronics,A,BrandY,348.27,168.98,209,335,2023
323,Product323,Beauty,C,BrandY,337.41,10.05,58,961,2024
324,Product324,Beauty,B,BrandX,236.31,289.98,473,28,2018
325,Product325,Home,C,BrandX,191.47,103.72,339,687,2024
326,Product326,Home,E,BrandA,280.07,209.16,106,818,2024
327,Product327,Sports,A,BrandZ,64.68,243.49,136,937,2024
328,Product328,Home,D,BrandY,230.08,85.17,308,803,2021
329,Product329,Electronics,D,BrandX,230.41,225.12,331,843,2020
330,Product330,Electronics,A,BrandZ,271.48,250.06,461,616,2018
331,Product331,Electronics,B,BrandY,319.17,73.91,77,44,2024
332,Product332,Sports,D,BrandY,478.87,297.76,457,100,2024
333,Product333,Sports,E,BrandZ,327.82,8.17,325,225,2022
334,Product334,Home,D,BrandZ,442.44,66.67,210,418,2023
335,Product335,Sports,D,BrandZ,280.37,234.45,232,615,2020
336,Product336,Electronics,E,BrandX,315.33,59.85,125,261,2023
337,Product337,Fashion,C,BrandA,39.57,210.08,180,764,2020
338,Product338,Electronics,B,BrandY,70.97,256.95,462,676,2020
339,Product339,Fashion,E,BrandY,291.94,287.85,290,291,2021
340,Product340,Home,E,BrandZ,200.88,143.33,214,211,2022
341,Product341,Beauty,A,BrandX,400.41,291.39,432,655,2022
342,Product342,Sports,B,BrandZ,273.87,124.66,97,455,2023
343,Product343,Sports,C,BrandX,441.73,67.0,408,235,2025
344,Product344,Electronics,E,BrandA,486.3,155.15,249,533,2024
345,Product345,Electronics,C,BrandY,78.08,195.65,221,68,2021
346,Product346,Fashion,E,BrandY,200.44,138.47,13,580,2022
347,Product347,Sports,E,BrandX,334.17,170.96,306,245,2020
348,Product348,Home,A,BrandA,156.22,126.09,91,574,2020
349,Product349,Electronics,D,BrandA,137.18,158.38,193,236,2023
350,Product350,Sports,B,BrandY,407.8,285.87,199,330,2025
351,Product351,Beauty,A,BrandY,490.29,150.95,260,362,2020
352,Product352,Fashion,C,BrandZ,388.03,77.45,64,530,2022
353,Product353,Electronics,E,BrandX,264.22,228.11,330,742,2019
354,Product354,Electronics,E,BrandY,224.04,102.6,232,464,2018
355,Product355,Home,B,BrandA,272.13,245.23,227,228,2019
356,Product356,Electronics,A,BrandA,234.11,18.94,167,869,2021
357,Product357,Sports,A,BrandY,253.93,100.99,251,508,2019
358,Product358,Sports,C,BrandA,105.71,30.12,447,381,2025
359,Product359,Sports,A,BrandX,452.35,27.42,186,126,2025
360,Product360,Beauty,A,BrandA,378.49,198.2,249,657,2024
361,Product361,Beauty,D,BrandA,342.08,116.83,272,881,2025
362,Product362,Electronics,B,BrandY,475.21,261.7,475,840,2023
363,Product363,Beauty,A,BrandX,145.78,155.89,340,113,2019
364,Product364,Beauty,C,BrandX,45.17,90.01,446,242,2024
365,Product365,Home,E,BrandZ,413.94,216.82,138,144,2023
366,Product366,Beauty,A,BrandX,499.22,187.96,109,552,2021
367,Product367,Fashion,A,BrandZ,291.32,240.28,318,672,2019
368,Product368,Fashion,E,BrandY,34.11,193.79,417,979,2018
369,Product369,Fashion,D,BrandA,391.33,51.77,455,438,2022
370,Product370,Electronics,B,BrandX,41.51,201.75,426,337,2024
371,Product371,Sports,D,BrandZ,272.31,118.68,44,407,2021
372,Product372,Home,C,BrandX,142.38,140.02,430,588,2019
373,Product373,Electronics,A,BrandY,457.94,276.63,342,167,2020
374,Product374,Sports,D,BrandZ,228.41,109.27,491,795,2020
375,Product375,Home,B,BrandZ,449.74,184.36,337,621,2021
376,Product376,Home,C,BrandZ,153.05,110.32,201,706,2020
377,Product377,Home,D,BrandY,196.74,30.23,378,739,2018
378,Product378,Fashion,A,BrandZ,473.82,137.15,104,970,2024
379,Product379,Fashion,B,BrandA,104.65,179.92,458,166,2019
380,Product380,Fashion,A,BrandY,291.36,123.44,484,532,2018
381,Product381,Home,A,BrandA,197.31,118.42,479,164,2018
382,Product382,Home,C,BrandA,388.21,246.47,415,641,2022
383,Product383,Fashion,B,BrandY,69.0,10.85,389,261,2019
384,Product384,Home,E,BrandX,221.42,90.08,120,563,2021
385,Product385,Fashion,A,BrandA,350.97,243.9,402,260,2020
386,Product386,Fashion,B,BrandY,206.47,276.32,390,174,2024
387,Product387,Fashion,A,BrandA,33.97,124.87,362,810,2022
388,Product388,Sports,D,BrandZ,354.03,266.86,434,95,2018
389,Product389,Home,D,BrandA,254.08,61.28,383,356,2020
390,Product390,Electronics,B,BrandA,10.6,67.99,28,369,2019
391,Product391,Fashion,C,BrandA,308.26,254.17,107,551,2018
392,Product392,Electronics,E,BrandZ,460.34,271.17,280,906,2018
393,Product393,Sports,D,BrandA,59.96,68.4,453,720,2019
394,Product394,Home,C,BrandY,297.38,19.68,28,141,2021
395,Product395,Fashion,E,BrandA,365.69,28.92,186,769,2022
396,Product396,Fashion,D,BrandY,40.03,79.89,195,166,2025
397,Product397,Fashion,E,BrandA,16.19,228.91,146,702,2019
398,Product398,Electronics,A,BrandA,234.78,153.98,260,318,2020
399,Product399,Sports,B,BrandA,396.64,137.77,360,630,2020
400,Product400,Home,D,BrandX,84.56,176.07,177,657,2025
401,Product401,Sports,D,BrandX,419.14,267.29,128,992,2018
402,Product402,Fashion,A,BrandZ,330.01,28.95,384,861,2024
403,Product403,Sports,D,BrandY,169.43,209.03,106,334,2023
404,Product404,Electronics,D,BrandZ,260.33,278.18,416,988,2022
405,Product405,Beauty,D,BrandY,482.96,65.58,352,473,2021
406,Product406,Beauty,D,BrandZ,112.14,251.66,383,640,2021
407,Product407,Home,D,BrandZ,252.27,210.01,211,144,2025
408,Product408,Home,C,BrandA,314.12,6.31,349,53,2025
409,Product409,Sports,D,BrandA,73.32,71.02,481,121,2023
410,Product410,Home,A,BrandA,26.54,182.54,322,123,2020
411,Product411,Electronics,D,BrandA,11.66,151.72,314,166,2021
412,Product412,Fashion,E,BrandA,165.72,159.33,11,943,2024
413,Product413,Fashion,E,BrandZ,41.6,71.12,367,833,2020
414,Product414,Sports,A,BrandY,402.87,203.15,481,654,2025
415,Product415,Fashion,C,BrandX,498.67,81.39,489,21,2022
416,Product416,Sports,A,BrandX,35.35,118.05,360,275,2025
417,Product417,Home,C,BrandY,219.2,111.94,321,860,2023
418,Product418,Home,B,BrandX,17.74,202.26,384,984,2018
419,Product419,Electronics,E,BrandZ,71.33,28.9,490,938,2025
420,Product420,Fashion,E,BrandY,164.85,63.25,17,951,2024
421,Product421,Electronics,E,BrandY,199.88,61.75,370,407,2020
422,Product422,Beauty,C,BrandX,470.19,34.31,336,481,2022
423,Product423,Electronics,A,BrandX,200.94,63.86,66,298,2023
424,Product424,Sports,C,BrandZ,250.66,182.9,374,276,2020
425,Product425,Sports,E,BrandA,126.56,220.19,113,815,2019
426,Product426,Electronics,E,BrandY,5.06,198.77,132,321,2020
